# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   210302627 | 6725 |  476 |  297 | 4.103 | 0.156 | 0.234 | -0.041 | 0.100 | 0.120 |   1.761 |   0.657 |   0.372 |   1.452 |   0.214 |   0.178 | 2.611e-01 | 1.989e-01 | 1.494e-01 | 6.531e+02 | 2.468e+02 | 1.186e+02 | 0.2870 | 0.1568 | 0.1120 |   rpm
   210303168 | 6301 |  269 |  154 | 4.121 | 0.170 | 0.238 | -0.103 | 0.120 | 0.210 |   1.567 |   0.555 |   0.305 |   1.255 |   0.205 |   0.153 | 2.704e-01 | 2.273e-01 | 1.404e-01 | 6.012e+02 | 1.946e+02 | 1.285e+02 | 0.2223 | 0.1216 | 0.0760 |   rpm
   210303479 | 6309 |  189 |  189 | 4.223 | 0.120 | 0.192 | -0.084 | 0.150 | 0.270 |   1.363 |   0.351 |   0.237 |   1.198 |   0.148 |   0.148 | 4.305e-01 | 2.597e-01 | 2.082e-01 | 2.140e+02 | 4.686e+01 | 3.844e+01 | 0.1580 | 0.0798 | 0.0570 |   rpm
   210304352 | 6070 |  244 |  342 | 3.937 | 0.369 | 0.164 | -0.038 | 0.120 | 0.150 |   1.869 |   0.764 |   0.685 |   1.234 |   0.328 |   0.149 | 1.523e-01 | 4.582e-01 | 8.187e-02 | 4.682e+02 | 1.559e+02 | 1.782e+02 | 0.4537 | 0.0790 | 0.1264 |   rpm
   210305942 | 5042 |  240 |   90 | 4.616 | 0.025 | 0.060 | -0.459 | 0.270 | 0.150 |   0.693 |   0.099 |   0.032 |   0.728 |   0.111 |   0.021 | 2.173e+00 | 2.097e-01 | 5.247e-01 | 2.029e+02 | 6.457e+01 | 2.123e+01 | 0.1781 | 0.1612 | 0.0744 |   rpm
   210306475 | 4797 |  149 |  119 | 2.601 | 0.564 | 0.282 | -0.266 | 0.250 | 0.350 |   8.493 |   2.765 |   3.659 |   1.139 |   0.230 |   0.191 | 1.453e-03 | 9.022e-03 | 7.732e-04 | 8.978e+02 | 2.377e+02 | 3.987e+02 | 0.3433 | 0.1250 | 0.1250 |   rpm
   210307350 | 5191 |  309 |  220 | 3.412 | 0.340 | 0.952 | -0.478 | 0.350 | 0.490 |   3.301 |   5.527 |   1.110 |   1.020 |   0.313 |   0.156 | 2.804e-02 | 5.862e-02 | 2.709e-02 | 7.164e+02 | 1.063e+03 | 2.115e+02 | 0.2956 | 0.1610 | 0.1380 |   rpm
   210307378 | 3749 |   60 |   45 | 0.839 | 0.328 | 0.246 | -0.186 | 0.280 | 0.200 |  63.281 |  24.474 |  17.649 |   1.142 |   0.171 |   0.053 | 3.971e-06 | 6.330e-06 | 2.440e-06 | 2.667e+03 | 8.812e+02 | 6.623e+02 | 0.1927 | 0.0784 | 0.0280 |   rpm
   210307958 | 4750 |  138 |  138 | 2.429 | 0.270 | 0.180 | -0.359 | 0.240 | 0.280 |  10.658 |   2.304 |   2.554 |   1.153 |   0.207 |   0.172 | 8.180e-04 | 9.881e-04 | 3.664e-04 | 1.757e+03 | 3.457e+02 | 3.906e+02 | 0.2980 | 0.1392 | 0.1160 |   rpm
   210308210 | 3755 |  150 |  150 | 4.952 | 0.050 | 0.080 | -0.080 | 0.150 | 0.150 |   0.326 |   0.078 |   0.054 |   0.365 |   0.093 |   0.078 | 9.731e+00 | 3.246e+00 | 3.227e+00 | 1.962e+02 | 5.366e+01 | 4.214e+01 | 0.3200 | 0.0980 | 0.0700 |   rpm
